model_id,display_name,group,category,architecture,encoder,input_mode,miou,dice,pixel_acc,params_m,train_seconds,train_minutes
dl_segformer_b2,SegFormer (MiT-B2),general,transformer,Segformer,mit_b2,rgb,0.5759797018661156,0.6965814490285807,0.8052651251908657,24.725453,277.0208249092102,4.617013748486837
dl_deeplabv3p_r34,DeepLabV3+ (ResNet34),general,context-atrous,DeepLabV3Plus,resnet34,rgb,0.5740033699076693,0.6980186093458643,0.7960005266031471,22.440541,17.58085870742798,0.29301431179046633
dl_segformer_b0,SegFormer (MiT-B0),general,transformer,Segformer,mit_b0,rgb,0.5708843132404668,0.686579298968105,0.8011909092200841,3.717485,71.13828086853027,1.1856380144755045
dl_unetpp_r34,U-Net++ (ResNet34),general,encoder-decoder,UnetPlusPlus,resnet34,rgb,0.5587611621535308,0.6824271886518343,0.7735952323802259,26.080349,29.275037050247192,0.48791728417078656
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,0.5431215744510293,0.663422389022649,0.7469884732313524,31.785373,20.794602870941162,0.34657671451568606
dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,0.52087618958004,0.643584936281159,0.7319583089270996,24.438109,16.993568658828735,0.28322614431381227
dl_linknet_r34,LinkNet (ResNet34),general,lightweight,Linknet,resnet34,rgb,0.49563549928262146,0.6306715148736008,0.7233412196587653,21.772333,14.40543508529663,0.24009058475494385
dl_upernet_b0,UPerNet (MiT-B0),general,transformer,UPerNet,mit_b0,rgb,0.4699740507374635,0.5729468799448402,0.7285813080073741,10.735469,101.13108396530151,1.6855180660883586
dl_fpn_r34,FPN (ResNet34),general,pyramid,FPN,resnet34,rgb,0.44990841215969196,0.544083075178332,0.6991979565543205,23.156941,15.888894081115723,0.2648149013519287
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,0.40762980483292316,0.5127740688464809,0.6387829187639978,21.493293,4.904197692871094,0.08173662821451823
dl_deeplabv3_r34,DeepLabV3 (ResNet34),general,context-atrous,DeepLabV3,resnet34,rgb,0.31999882881618535,0.375795637895941,0.6600972467067437,26.010189,39.0425488948822,0.6507091482480367
