model_id,display_name,group,category,architecture,encoder,input_mode,miou,dice,pixel_acc,params_m,train_seconds,train_minutes
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,0.5727112026925583,0.6887754711808384,0.7785971495515359,24.431837,17.624907970428467,0.2937484661738078
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,0.5720929309760879,0.6930075276250774,0.8084238587355449,24.438109,25.303546905517578,0.4217257817586263
metal_deeplabv3p_clahe_r34,Metal-DeepLabV3+ CLAHE (ResNet34),metallography,micrograph-contrast,DeepLabV3Plus,resnet34,clahe_rgb,0.5629090686204166,0.6830888862106038,0.7977171320056655,22.440541,27.292085886001587,0.45486809810002643
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,0.5608936203910289,0.6731017095005312,0.7770240929257856,24.438109,33.942429065704346,0.5657071510950724
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,0.5307940382421376,0.6496756032443965,0.744652959699143,24.441245,26.60616683959961,0.44343611399332683
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,0.5306964982954088,0.6423383586578183,0.7331852311401464,3.717485,78.25425004959106,1.3042375008265177
metal_unet_lbp_r34,Metal-U-Net LBP Stack (ResNet34),metallography,texture-aware,Unet,resnet34,lbp3,0.48837856714810024,0.6154504912387767,0.7109879285241427,24.438109,26.718668222427368,0.44531113704045616
metal_unetpp_gray_r34,Metal-U-Net++ Gray (ResNet34),metallography,micrograph-contrast,UnetPlusPlus,resnet34,gray,0.47761594876749713,0.5968011375475918,0.6873544534154479,26.074077,45.83568978309631,0.7639281630516053
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,0.46415647011381905,0.5936709142105534,0.6780887791528253,21.775469,15.850100994110107,0.26416834990183513
metal_upernet_clahe_b2,Metal-UPerNet CLAHE (MiT-B2),metallography,micrograph-contrast,UPerNet,mit_b2,clahe_rgb,0.4412698980670758,0.5377586240196482,0.701547387511336,32.530893,302.05386900901794,5.034231150150299
metal_fpn_gabor_r34,Metal-FPN Gabor Stack (ResNet34),metallography,texture-aware,FPN,resnet34,gabor3,0.4139056393846103,0.5113258466664687,0.6898842864642832,23.156941,24.608868837356567,0.4101478139559428
