model_id,category,subset,miou,dice,pixel_acc
sam_vit_base,foundation_sam,418-17-4ph-x5,0.7793364755181367,0.8595540986019422,0.9779079861111112
slimsam_50,foundation_sam,418-17-4ph-x5,0.7791829227140998,0.859332700427738,0.9780164930555556
sam_vit_base,foundation_sam,6280-cast-iron-high,0.44880866780347894,0.514615123155894,0.8355224609375
slimsam_50,foundation_sam,6280-cast-iron-high,0.4449493742243783,0.5082174756276739,0.8343668619791667
slimsam_50,foundation_sam,418-17-4ph-x20,0.44397259574124914,0.5039325686216755,0.8278162719080687
sam_vit_base,foundation_sam,418-17-4ph-x20,0.4437158488709472,0.5034383508335905,0.8283923921130952
slimsam_50,foundation_sam,5884-armor-steel,0.4143221563072479,0.5186822429780565,0.6794963210978836
sam_vit_base,foundation_sam,5884-armor-steel,0.4124241789359087,0.5160539800087575,0.678555927579365
slimsam_50,foundation_sam,4130-steel,0.2789671139802547,0.36523256894018924,0.5470682779947917
sam_vit_base,foundation_sam,4130-steel,0.27891792985657593,0.36509875148805354,0.547100830078125
sam_vit_base,foundation_sam,6280-cast-iron-low,0.25444832447598886,0.3591587739768411,0.5134523950441919
slimsam_50,foundation_sam,6280-cast-iron-low,0.24965452393932128,0.3531681012093263,0.5129147924558081
